1945 (18th),Actor -- Leading Role,Bing Crosby,The Bells of St. Mary's {'Father O'Malley'},FALSE,,,,,,,,,,,
1945 (18th),Actor -- Leading Role,Gene Kelly,Anchors Aweigh {'Joseph Brady'},FALSE,,,,,,,,,,,
1945 (18th),Actor -- Leading Role,Ray Milland,The Lost Weekend {'Don Birnam'},TRUE,,,,,,,,,,,
1945 (18th),Actor -- Leading Role,Gregory Peck,The Keys of the Kingdom {'Father Francis Chisholm'},FALSE,,,,,,,,,,,
1945 (18th),Actor -- Leading Role,Cornel Wilde,A Song to Remember {'Frederick Chopin'},FALSE,,,,,,,,,,,
1945 (18th),Actor -- Supporting Role,Michael Chekhov,Spellbound {'Dr. Alex Brulov'},FALSE,,,,,,,,,,,
1945 (18th),Actor -- Supporting Role,John Dall,The Corn Is Green {'Morgan Evans'},FALSE,,,,,,,,,,,
1945 (18th),Actor -- Supporting Role,James Dunn,A Tree Grows in Brooklyn {'Johnny Nolan'},TRUE,,,,,,,,,,,
1945 (18th),Actor -- Supporting Role,Robert Mitchum,G. I. Joe {'Lieutenant Walker'},FALSE,,,,,,,,,,,
1945 (18th),Actor -- Supporting Role,J. Carrol Naish,A Medal for Benny {'Charlie Martini'},FALSE,,,,,,,,,,,
1945 (18th),Actress -- Leading Role,Ingrid Bergman,The Bells of St. Mary's {'Sister Benedict'},FALSE,,,,,,,,,,,
1945 (18th),Actress -- Leading Role,Joan Crawford,Mildred Pierce {'Mildred Pierce'},TRUE,,,,,,,,,,,
1945 (18th),Actress -- Leading Role,Greer Garson,The Valley of Decision {'Mary Rafferty'},FALSE,,,,,,,,,,,
1945 (18th),Actress -- Leading Role,Jennifer Jones,Love Letters {'Singleton'},FALSE,,,,,,,,,,,
1945 (18th),Actress -- Leading Role,Gene Tierney,Leave Her to Heaven {'Ellen Berent'},FALSE,,,,,,,,,,,
1945 (18th),Actress -- Supporting Role,Eve Arden,Mildred Pierce {'Ida'},FALSE,,,,,,,,,,,
1945 (18th),Actress -- Supporting Role,Ann Blyth,Mildred Pierce {'Veda Pierce'},FALSE,,,,,,,,,,,
1945 (18th),Actress -- Supporting Role,Angela Lansbury,The Picture of Dorian Gray {'Sibyl Vane'},FALSE,,,,,,,,,,,
1945 (18th),Actress -- Supporting Role,Joan Lorring,The Corn Is Green {'Bessie Watty'},FALSE,,,,,,,,,,,
1945 (18th),Actress -- Supporting Role,Anne Revere,National Velvet {'Mrs. Brown'},TRUE,,,,,,,,,,,
1945 (18th),Acting (other),To Peggy Ann Garner, outstanding child actress of 1945.,,TRUE,,,,,,,,,,
1945 (18th),Art Direction,Blood on the Sun,Art Direction: Wiard Ihnen; Interior Decoration: A. Roland Fields,TRUE,,,,,,,,,,,
1945 (18th),Art Direction,Experiment Perilous,Art Direction: Albert S. D'Agostino, Jack Okey; Interior Decoration: Darrell Silvera, Claude Carpenter,FALSE,,,,,,,,,
1945 (18th),Art Direction,The Keys of the Kingdom,Art Direction: James Basevi, William Darling; Interior Decoration: Thomas Little, Frank E. Hughes,FALSE,,,,,,,,,
1945 (18th),Art Direction,Love Letters,Art Direction: Hans Dreier, Roland Anderson; Interior Decoration: Sam Comer, Ray Moyer,FALSE,,,,,,,,,
1945 (18th),Art Direction,The Picture of Dorian Gray,Art Direction: Cedric Gibbons, Hans Peters; Interior Decoration: Edwin B. Willis, Hugh Hunt, John Bonar,FALSE,,,,,,,,
1945 (18th),Art Direction,Frenchman's Creek,Art Direction: Hans Dreier, Ernst Fegte; Interior Decoration: Sam Comer,TRUE,,,,,,,,,,
1945 (18th),Art Direction,Leave Her to Heaven,Art Direction: Lyle Wheeler, Maurice Ransford; Interior Decoration: Thomas Little,FALSE,,,,,,,,,,
1945 (18th),Art Direction,National Velvet,Art Direction: Cedric Gibbons, Urie McCleary; Interior Decoration: Edwin B. Willis, Mildred Griffiths,FALSE,,,,,,,,,
1945 (18th),Art Direction,San Antonio,Art Direction: Ted Smith; Interior Decoration: Jack McConaghy,FALSE,,,,,,,,,,,
1945 (18th),Art Direction,A Thousand and One Nights,Art Direction: Stephen Goosson, Rudolph Sternad; Interior Decoration: Frank Tuttle,FALSE,,,,,,,,,,
1945 (18th),Cinematography,The Keys of the Kingdom,Arthur Miller,FALSE,,,,,,,,,,,
1945 (18th),Cinematography,The Lost Weekend,John F. Seitz,FALSE,,,,,,,,,,,
1945 (18th),Cinematography,Mildred Pierce,Ernest Haller,FALSE,,,,,,,,,,,
1945 (18th),Cinematography,The Picture of Dorian Gray,Harry Stradling,TRUE,,,,,,,,,,,
1945 (18th),Cinematography,Spellbound,George Barnes,FALSE,,,,,,,,,,,
1945 (18th),Cinematography,Anchors Aweigh,Robert Planck, Charles Boyle,FALSE,,,,,,,,,,
