Year,Category,Nominee,Additional Info,Won?
2010 (83rd),Actor -- Leading Role,Javier Bardem,Biutiful {'Uxbal'},FALSE
2010 (83rd),Actor -- Leading Role,Jeff Bridges,True Grit {'Rooster Cogburn'},FALSE
2010 (83rd),Actor -- Leading Role,Jesse Eisenberg,The Social Network {'Mark Zuckerberg'},FALSE
2010 (83rd),Actor -- Leading Role,Colin Firth,The King's Speech {'King George VI'},TRUE
2010 (83rd),Actor -- Leading Role,James Franco,127 Hours {'Aron Ralston'},FALSE
2010 (83rd),Actor -- Supporting Role,Christian Bale,The Fighter {'Dicky Eklund'},TRUE
2010 (83rd),Actor -- Supporting Role,John Hawkes,Winter's Bone {'Teardrop'},FALSE
2010 (83rd),Actor -- Supporting Role,Jeremy Renner,The Town {'James Coughlin'},FALSE
2010 (83rd),Actor -- Supporting Role,Mark Ruffalo,The Kids Are All Right {'Paul'},FALSE
2010 (83rd),Actor -- Supporting Role,Geoffrey Rush,The King's Speech {'Lionel Logue'},FALSE
2010 (83rd),Actress -- Leading Role,Annette Bening,The Kids Are All Right {'Nic'},FALSE
2010 (83rd),Actress -- Leading Role,Nicole Kidman,Rabbit Hole {'Becca'},FALSE
2010 (83rd),Actress -- Leading Role,Jennifer Lawrence,Winter's Bone {'Ree'},FALSE
2010 (83rd),Actress -- Leading Role,Natalie Portman,Black Swan {'Nina Sayers/The Swan Queen'},TRUE
2010 (83rd),Actress -- Leading Role,Michelle Williams,Blue Valentine {'Cindy'},FALSE
2010 (83rd),Actress -- Supporting Role,Amy Adams,The Fighter {'Charlene Fleming'},FALSE
2010 (83rd),Actress -- Supporting Role,Helena Bonham Carter,The King's Speech {'Queen Elizabeth'},FALSE
2010 (83rd),Actress -- Supporting Role,Melissa Leo,The Fighter {'Alice Ward'},TRUE
2010 (83rd),Actress -- Supporting Role,Hailee Steinfeld,True Grit {'Mattie Ross'},FALSE
2010 (83rd),Actress -- Supporting Role,Jacki Weaver,Animal Kingdom {'Janine 'Smurf' Cody'},FALSE
2010 (83rd),Animated Feature Film,How to Train Your Dragon,Chris Sanders and Dean DeBlois,FALSE
2010 (83rd),Animated Feature Film,The Illusionist,Sylvain Chomet,FALSE
2010 (83rd),Animated Feature Film,Toy Story 3,Lee Unkrich,TRUE
2010 (83rd),Art Direction,Alice in Wonderland,Production Design: Robert Stromberg; Set Decoration: Karen O'Hara,TRUE
2010 (83rd),Art Direction,Harry Potter and the Deathly Hallows Part 1,Production Design: Stuart Craig; Set Decoration: Stephenie McMillan,FALSE
2010 (83rd),Art Direction,Inception,Production Design: Guy Hendrix Dyas; Set Decoration: Larry Dias and Doug Mowat,FALSE
2010 (83rd),Art Direction,The King's Speech,Production Design: Eve Stewart; Set Decoration: Judy Farr,FALSE
2010 (83rd),Art Direction,True Grit,Production Design: Jess Gonchor; Set Decoration: Nancy Haigh,FALSE
2010 (83rd),Cinematography,Black Swan,Matthew Libatique,FALSE
2010 (83rd),Cinematography,Inception,Wally Pfister,TRUE
2010 (83rd),Cinematography,The King's Speech,Danny Cohen,FALSE
2010 (83rd),Cinematography,The Social Network,Jeff Cronenweth,FALSE
2010 (83rd),Cinematography,True Grit,Roger Deakins,FALSE
2010 (83rd),Costume Design,Alice in Wonderland,Colleen Atwood,TRUE
2010 (83rd),Costume Design,I Am Love,Antonella Cannarozzi,FALSE
2010 (83rd),Costume Design,The King's Speech,Jenny Beavan,FALSE
2010 (83rd),Costume Design,The Tempest,Sandy Powell,FALSE
2010 (83rd),Costume Design,True Grit,Mary Zophres,FALSE
2010 (83rd),Directing,Black Swan,Darren Aronofsky,FALSE
2010 (83rd),Directing,The Fighter,David O. Russell,FALSE
2010 (83rd),Directing,The King's Speech,Tom Hooper,TRUE
2010 (83rd),Directing,The Social Network,David Fincher,FALSE
2010 (83rd),Directing,True Grit,Joel Coen and Ethan Coen,FALSE
2010 (83rd),Documentary (Feature),Exit through the Gift Shop,Banksy and Jaimie D'Cruz,FALSE
2010 (83rd),Documentary (Feature),Gasland,Josh Fox and Trish Adlesic,FALSE
2010 (83rd),Documentary (Feature),Inside Job,Charles Ferguson and Audrey Marrs,TRUE
2010 (83rd),Documentary (Feature),Restrepo,Tim Hetherington and Sebastian Junger,FALSE
2010 (83rd),Documentary (Feature),Waste Land,Lucy Walker and Angus Aynsley,FALSE
2010 (83rd),Documentary (Short Subject),Killing in the Name,Jed Rothstein,FALSE
2010 (83rd),Documentary (Short Subject),Poster Girl,Sara Nesson and Mitchell W. Block,FALSE
2010 (83rd),Documentary (Short Subject),Strangers No More,Karen Goodman and Kirk Simon,TRUE
2010 (83rd),Documentary (Short Subject),Sun Come Up,Jennifer Redfearn and Tim Metzger,FALSE
2010 (83rd),Documentary (Short Subject),The Warriors of Qiugang,Ruby Yang and Thomas Lennon,FALSE
2010 (83rd),Film Editing,Black Swan,Andrew Weisblum,FALSE
2010 (83rd),Film Editing,The Fighter,Pamela Martin,FALSE
2010 (83rd),Film Editing,The King's Speech,Tariq Anwar,FALSE
2010 (83rd),Film Editing,127 Hours,Jon Harris,FALSE
2010 (83rd),Film Editing,The Social Network,Angus Wall and Kirk Baxter,TRUE
2010 (83rd),Foreign Language Film,Biutiful,Mexico,FALSE
2010 (83rd),Foreign Language Film,Dogtooth,Greece,FALSE
2010 (83rd),Foreign Language Film,In a Better World,Denmark,TRUE
2010 (83rd),Foreign Language Film,Incendies,Canada,FALSE
2010 (83rd),Foreign Language Film,Outside the Law (Hors-la-loi),Algeria,FALSE
2010 (83rd),Makeup,Barney's Version,Adrien Morot,FALSE
2010 (83rd),Makeup,The Way Back,Edouard F. Henriques, Gregory Funk and Yolanda Toussieng
2010 (83rd),Makeup,The Wolfman,Rick Baker and Dave Elsey,TRUE
