1930/31,Adolphe Menjou,The Front Page,Walter Burns
2002,Adrien Brody Award winner,The Pianist,W_adys_aw Szpilman
1973,Al Pacino,Serpico,Frank Serpico
1974,Al Pacino,The Godfather Part II,Michael Corleone
1975,Al Pacino,Dog Day Afternoon,Sonny Wortzik
1979,Al Pacino,...And Justice for All,Arthur Kirkland
1992,Al Pacino Award winner,Scent of a Woman,Lieutenant Colonel Frank Slade
1966,Alan Arkin,The Russians Are Coming the Russians Are Coming,Lt. Rozanov
1968,Alan Arkin,The Heart Is a Lonely Hunter,John Singer
1968,Alan Bates,The Fixer,Yakov Bok
1984,Albert Finney,Under the Volcano,Geoffrey Firmin
1963,Albert Finney,Tom Jones,Tom Jones
1974,Albert Finney,Murder on the Orient Express,Hercule Poirot
1983,Albert Finney,The Dresser,Sir
1952,Alec Guinness,The Lavender Hill Mob,Holland
1957,Alec Guinness Award winner,The Bridge on the River Kwai,Lt. Colonel L. Nicholson D.S.O.
1944,Alexander Knox,Wilson,Woodrow Wilson
1931/32,Alfred Lunt,The Guardsman,The Actor
1957,Anthony Franciosa,A Hatful of Rain,Polo Pope
1993,Anthony Hopkins,The Remains of the Day,James Stevens
1995,Anthony Hopkins,Nixon,Richard Nixon
1991,Anthony Hopkins Award winner,The Silence of the Lambs,Dr. Hannibal Lecter
1964,Anthony Quinn,Zorba the Greek,Alexis Zorba
1957,Anthony Quinn,Wild Is the Wind,Gino
1974,Art Carney Award winner,Harry and Tonto,Harry Coombes
1951,Arthur Kennedy,Bright Victory,Larry Nevins
1944,Barry Fitzgerald,Going My Way,Father Fitzgibbon
2003,Ben Kingsley,House of Sand and Fog,Massoud Amir Behrani
1982,Ben Kingsley Award winner,Gandhi,Mohandas Karamchand Gandhi
2014,Benedict Cumberbatch,The Imitation Game,Alan Turing
2003,Bill Murray,Lost in Translation,Bob Harris
1996,Billy Bob Thornton,Sling Blade,Karl Childers
1954,Bing Crosby,The Country Girl,Frank Elgin
1945,Bing Crosby,The Bells of St. Mary's,Father Chuck O'Malley
1944,Bing Crosby Award winner,Going My Way,Father Chuck O'Malley
1986,Bob Hoskins,Mona Lisa,George
2011,Brad Pitt,Moneyball,Billy Beane
2008,Brad Pitt,The Curious Case of Benjamin Button,Benjamin Button
2012,Bradley Cooper,Silver Linings Playbook,"Patrizio ""Pat"" Solitano Jr."
2014,Bradley Cooper,American Sniper,Chris Kyle
1949,Broderick Crawford Award winner,All the King's Men,Willie Stark
2013,Bruce Dern,Nebraska,"Woodrow T. ""Woody"" Grant"
1953,Burt Lancaster,From Here to Eternity,1st Sgt. Milton Warden
1962,Burt Lancaster,Birdman of Alcatraz,Robert Franklin Stroud
1981,Burt Lancaster,Atlantic City,Lou Pascal
1960,Burt Lancaster Award winner,Elmer Gantry,Elmer Gantry
(3rd),Capt. Hugh 'Bulldog' Drummond,,
1941,Cary Grant,Penny Serenade,Roger Adams
1944,Cary Grant,None but the Lonely Heart,Ernie Mott
1944,Charles Boyer,Gaslight,Gregory Anton
1961,Charles Boyer,Fanny,Cesar
1937,Charles Boyer,Conquest,Emperor Napoleon Bonaparte
1938,Charles Boyer,Algiers,Pepe le Moko
1940,Charles Chaplin,The Great Dictator,Adenoid Hynkel/The Barber
1957,Charles Laughton,Witness for the Prosecution,Sir Wilfrid Robarts
1935,Charles Laughton,Mutiny on the Bounty,Lieutenant William Bligh Captain
1932/33,Charles Laughton Award winner,The Private Life of Henry VIII,King Henry VIII of England
1959,Charlton Heston Award winner,Ben-Hur,Judah Ben-Hur
1928/29,Chester Morris,Alibi,Chick Williams (No. 1065)
2013,Chiwetel Ejiofor,12 Years a Slave,Solomon Northup
2013,Christian Bale,American Hustle,Irving Rosenfeld
1935,Clark Gable,Mutiny on the Bounty,Master's Mate Fletcher Christian
1939,Clark Gable,Gone with the Wind,Rhett Butler
1934,Clark Gable Award winner,It Happened One Night,Peter Warne
1968,Cliff Robertson Award winner,Charly,Charly Gordon
1948,Clifton Webb,Sitting Pretty,Lynn Aloysius Belvedere
1992,Clint Eastwood,Unforgiven,"William ""Will"" Munny"
2004,Clint Eastwood,Million Dollar Baby,Frankie Dunn
2009,Colin Firth,A Single Man,George Falconer
2010,Colin Firth Award winner,The King's Speech,King George VI
1945,Cornel Wilde,A Song to Remember,Frederic Chopin
1948,Dan Dailey,When My Baby Smiles at Me,Skid Johnson
1954,Dan O'Herlihy,Adventures of Robinson Crusoe,Robinson Crusoe
1993,Daniel Day-Lewis,In the Name of the Father,Gerry Conlon
2002,Daniel Day-Lewis,Gangs of New York,"William ""Bill the Butcher"" Cutting"
2007,Daniel Day-Lewis Award winner,There Will Be Blood,Daniel Plainview
1989,Daniel Day-Lewis Award winner,My Left Foot,Christy Brown
2012,Daniel Day-Lewis Award winner,Lincoln,Abraham Lincoln
1958,David Niven Award winner,Separate Tables,Major Angus Pollock
2005,David Strathairn,Good Night and Good Luck,Edward R. Murrow
2011,Demian Bichir,A Better Life,Carlos Galindo
1992,Denzel Washington,Malcolm X,Malcolm X
1999,Denzel Washington,The Hurricane,"Rubin ""The Hurricane"" Carter"
2012,Denzel Washington,Flight,"William ""Whip"" Whitaker Sr."
2001,Denzel Washington Award winner,Training Day,Detective Alonzo Harris
1986,Dexter Gordon,Round Midnight,Dale Turner
2004,Don Cheadle,Hotel Rwanda,Paul Rusesabagina
1981,Dudley Moore,Arthur,Arthur Bach
1997,Dustin Hoffman,Wag the Dog,Stanley Motss
1982,Dustin Hoffman,Tootsie,Michael Dorsey aka Dorothy Michaels
1969,Dustin Hoffman,Midnight Cowboy,"Enrico Salvatore ""Ratso"" ""Rico"" Rizzo"
1974,Dustin Hoffman,Lenny,Lenny Bruce
1967,Dustin Hoffman,The Graduate,Benjamin Braddock
1988,Dustin Hoffman Award winner,Rain Man,Raymond Babbitt
1979,Dustin Hoffman Award winner,Kramer vs. Kramer,Ted Kramer
2000,Ed Harris,Pollock,Jackson Pollock
2014,Eddie Redmayne Award winner,The Theory of Everything,Stephen Hawking
1988,Edward James Olmos,Stand and Deliver,Jaime Escalante
1998,Edward Norton,American History X,Derek Vinyard
1927/28,Emil Jannings Award winner[A],The Last Command,
1955,Ernest Borgnine Award winner,Marty,Marty Piletti
1984,F. Murray Abraham Award winner,Amadeus,Antonio Salieri
2006,Forest Whitaker Award winner,The Last King of Scotland,Idi Amin
1935,Franchot Tone,Mutiny on the Bounty,Midshipman Roger Byam
2008,Frank Langella,Frost/Nixon,Richard Nixon
1934,Frank Morgan,The Affairs of Cellini,Alessandro - Duke of Florence
1955,Frank Sinatra,The Man with the Golden Arm,Frankie Machine
1937,Fredric March,A Star Is Born,Norman Maine
1930/31,Fredric March,The Royal Family of Broadway,Tony Cavendish
1951,Fredric March,Death of a Salesman,Willy Loman
1946,Fredric March Award winner,The Best Years of Our Lives,Al Stephenson
1931/32,Fredric March Award winner[C],Dr. Jekyll and Mr. Hyde,Dr. Henry L. Jekyll/Edward Hyde
1978,Gary Busey,The Buddy Holly Story,Buddy Holly
1942,Gary Cooper,The Pride of the Yankees,Lou Gehrig
1936,Gary Cooper,Mr. Deeds Goes to Town,Longfellow Deeds
1943,Gary Cooper,For Whom the Bell Tolls,Robert Jordan
1941,Gary Cooper Award winner,Sergeant York,Sgt. Alvin C. York
1952,Gary Cooper Award winner,High Noon,Marshal Will Kane
2011,Gary Oldman,Tinker Tailor Soldier Spy,George Smiley
1988,Gene Hackman,Mississippi Burning,Agent Rupert Anderson
1971,Gene Hackman Award winner,The French Connection,"Detective Jimmy ""Popeye"" Doyle"
1945,Gene Kelly,Anchors Aweigh,Joseph Brady
2000,Geoffrey Rush,Quills,The Marquis de Sade
1996,Geoffrey Rush Award winner,Shine,David Helfgott
1929/30,George Arliss Award winner[B],Disraeli,Benjamin Disraeli
1929/30,George Arliss[B],The Green Goddess,The Raja of Rukh
1928/29,George Bancroft,Thunderbolt,Thunderbolt Jim Lang
1971,George C. Scott,The Hospital,Dr. Herbert Bock
1970,George C. Scott,Patton,General George S. Patton Jr.
2009,George Clooney,Up in the Air,Ryan Bingham
2007,George Clooney,Michael Clayton,Michael Clayton
2011,George Clooney,The Descendants,Matthew King
1990,Gerard Depardieu,Cyrano de Bergerac,Cyrano de Bergerac
1976,Giancarlo Giannini,Seven Beauties,Pasqualino Frafuso
(1st),Grand Duke Sergius Alexander,,
1946,Gregory Peck,The Yearling,"Ezra ""Penny"" Baxter"
1949,Gregory Peck,Twelve O'Clock High,Brig. General Frank Savage
1945,Gregory Peck,The Keys of the Kingdom,Father Francis
1947,Gregory Peck,Gentleman's Agreement,Philip Schuyler Green
1962,Gregory Peck Award winner,To Kill a Mockingbird,Atticus Finch
1985,Harrison Ford,Witness,Detective Captain John Book
2005,Heath Ledger,Brokeback Mountain,Ennis Del Mar
1940,Henry Fonda,The Grapes of Wrath,Tom Joad
1981,Henry Fonda Award winner,On Golden Pond,Norman Thayer Jr.
2012,Hugh Jackman,Les Miserables,Jean Valjean
1943,Humphrey Bogart,Casablanca,Rick Blaine
1954,Humphrey Bogart,The Caine Mutiny,Lt. Cmdr. Philip Francis Queeg
1951,Humphrey Bogart Award winner,The African Queen,Charlie Allnut
1998,Ian McKellen,Gods and Monsters,James Whale
1980,Jack Lemmon,Tribute,Scottie Templeton
1959,Jack Lemmon,Some Like It Hot,Jerry
1982,Jack Lemmon,Missing,Ed Horman
1962,Jack Lemmon,Days of Wine and Roses,Joe Clay
1979,Jack Lemmon,The China Syndrome,Jack Godell
1960,Jack Lemmon,The Apartment,"C. C. ""Bud"" Baxter"
1973,Jack Lemmon Award winner,Save the Tiger,Harry Stoner
1985,Jack Nicholson,Prizzi's Honor,Charley Partanna
1973,Jack Nicholson,The Last Detail,"Signalman First Class Billy L. ""Badass"" Buddusky"
1987,Jack Nicholson,Ironweed,Francis Phelan
1970,Jack Nicholson,Five Easy Pieces,Robert Eroica Dupea
1974,Jack Nicholson,Chinatown,"J. J. ""Jake"" Gittes"
2002,Jack Nicholson,About Schmidt,Warren R. Schmidt
1975,Jack Nicholson Award winner,One Flew Over the Cuckoo's Nest,"Randle Patrick ""Mac"" McMurphy"
1997,Jack Nicholson Award winner,As Good as It Gets,Melvin Udall
1930/31,Jackie Cooper,Skippy,Skippy Skinner
1955,James Cagney,Love Me or Leave Me,Martin Snyder
1938,James Cagney,Angels with Dirty Faces,Rocky Sullivan
1942,James Cagney Award winner,Yankee Doodle Dandy,George M. Cohan
1956,James Dean,Giant,Jett Rink
1955,James Dean,East of Eden,Cal Trask
1970,James Earl Jones,The Great White Hope,Jack Jefferson
2010,James Franco,127 Hours,Aron Ralston
1985,James Garner,Murphy's Romance,Murphy Jones
1954,James Mason,A Star Is Born,Norman Maine
1939,James Stewart,Mr. Smith Goes to Washington,Jefferson Smith
1946,James Stewart,It's a Wonderful Life,George Bailey
1950,James Stewart,Harvey,Elwood P. Dowd
1959,James Stewart,Anatomy of a Murder,Paul Biegler
1940,James Stewart Award winner,The Philadelphia Story,"Macaulay ""Mike"" Connor"
1975,James Whitmore,Give 'em Hell Harry!,Harry S. Truman
1986,James Woods,Salvador,Richard Boyle
2004,Jamie Foxx Award winner,Ray,Ray Charles
2010,Javier Bardem,Biutiful,Uxbal
2000,Javier Bardem,Before Night Falls,Reinaldo Arenas
2011,Jean Dujardin Award winner,The Artist,George Valentin
2010,Jeff Bridges,True Grit,"Reuben J. ""Rooster"" Cogburn"
1984,Jeff Bridges,Starman,Starman
2009,Jeff Bridges Award winner,Crazy Heart,"Otis ""Bad"" Blake"
1990,Jeremy Irons Award winner,Reversal of Fortune,Claus von Balow
2009,Jeremy Renner,The Hurt Locker,Sergeant First Class William James
2010,Jesse Eisenberg,The Social Network,Mark Zuckerberg
2005,Joaquin Phoenix,Walk the Line,Johnny Cash
2012,Joaquin Phoenix,The Master,Freddie Quell
1947,John Garfield,Body and Soul,Charlie Davis
1980,John Hurt,The Elephant Man,John Merrick
1977,John Travolta,Saturday Night Fever,"Anthony ""Tony"" Manero"
1994,John Travolta,Pulp Fiction,Vincent Vega
1949,John Wayne,Sands of Iwo Jima,Sergeant John M. Stryker
1969,John Wayne Award winner,True Grit,"Reuben J. ""Rooster"" Cogburn"
2007,Johnny Depp,Sweeney Todd: The Demon Barber of Fleet Street,Sweeney Todd/Benjamin Barker
2003,Johnny Depp,Pirates of the Caribbean: The Curse of the Black Pearl,Jack Sparrow
2004,Johnny Depp,Finding Neverland,J. M. Barrie
1985,Jon Voight,Runaway Train,"Oscar ""Manny"" Manheim"
1969,Jon Voight,Midnight Cowboy,Joe Buck
1978,Jon Voight Award winner,Coming Home,Luke Martin
1952,Jose Ferrer,Moulin Rouge,Henri de Toulouse-Lautrec
1950,Jose Ferrer Award winner,Cyrano de Bergerac,Cyrano de Bergerac
2003,Jude Law,Cold Mountain,W. P. Inman
1989,Kenneth Branagh,Henry V,King Henry V of England
1990,Kevin Costner,Dances with Wolves,Lieutenant John J. Dunbar
1999,Kevin Spacey Award winner,American Beauty,Lester Burnham
1956,Kirk Douglas,Lust for Life,Vincent van Gogh
1949,Kirk Douglas,Champion,"Michael ""Midge"" Kelly"
1952,Kirk Douglas,The Bad and the Beautiful,Jonathan Shields
1946,Larry Parks,The Jolson Story,Al Jolson
1993,Laurence Fishburne,What's Love Got to Do with It,Ike Turner
1959,Laurence Harvey,Room at the Top,Joe Lampton
1939,Laurence Olivier,Wuthering Heights,Heathcliff
1972,Laurence Olivier,Sleuth,Andrew Wyke
1956,Laurence Olivier,Richard III,King Richard III of England
1940,Laurence Olivier,Rebecca,'Maxim' de Winter
1965,Laurence Olivier,Othello,Othello
1946,Laurence Olivier,Henry V,King Henry V of England
1960,Laurence Olivier,The Entertainer,Archie Rice
1978,Laurence Olivier,The Boys from Brazil,Ezra Lieberman
1948,Laurence Olivier Award winner,Hamlet,Hamlet Prince of Denmark
1929/30,Lawrence Tibbett,The Rogue Song,Yegor
1965,Lee Marvin Award winner,Cat Ballou,Kid Shelleen
2013,Leonardo DiCaprio,The Wolf of Wall Street,Jordan Belfort
2006,Leonardo DiCaprio,Blood Diamond,Danny Archer
2004,Leonardo DiCaprio,The Aviator,Howard Hughes
1938,Leslie Howard,Pygmalion,Professor Henry Higgins
1932/33,Leslie Howard,Berkeley Square,Peter Standish
1948,Lew Ayres,Johnny Belinda,Dr. Robert Richardson
1928/29,Lewis Stone,The Patriot,Count Pahlen
1993,Liam Neeson,Schindler's List,Oskar Schindler
1930/31,Lionel Barrymore Award winner,A Free Soul,Stephen Ashe
1950,Louis Calhern,The Magnificent Yankee,Oliver Wendell Holmes
1977,Marcello Mastroianni,A Special Day,Gabriele
1962,Marcello Mastroianni,Divorce Italian Style,Ferdinando Cefal
1987,Marcello Mastroianni,Dark Eyes,Romano
1952,Marlon Brando,Viva Zapata!,Emiliano Zapata
1951,Marlon Brando,A Streetcar Named Desire,Stanley Kowalski
1957,Marlon Brando,Sayonara,"Major Lloyd ""Ace"" Gruver USAF"
1973,Marlon Brando,Last Tango in Paris,Paul
1953,Marlon Brando,Julius Caesar,Mark Antony
1972,Marlon Brando,The Godfather,Vito Corleone
1954,Marlon Brando Award winner,On the Waterfront,Terry Malloy
1995,Massimo Troisi,Il Postino,Mario Ruoppolo
1997,Matt Damon,Good Will Hunting,Will Hunting
2013,Matthew McConaughey Award winner,Dallas Buyers Club,Ron Woodroof
1929/30,Maurice Chevalier[B],The Big Pond,
1988,Max von Sydow,Pelle the Conqueror,Lassefar
1975,Maximilian Schell,The Man in the Glass Booth,Arthur Goldman
1961,Maximilian Schell Award winner,Judgment at Nuremberg,Hans Rolfe
1970,Melvyn Douglas,I Never Sang for My Father,Tom Garrison
1972,Michael Caine,Sleuth,Milo Tindle
2002,Michael Caine,The Quiet American,Thomas Fowler
1983,Michael Caine,Educating Rita,Dr. Frank Bryant
1966,Michael Caine,Alfie,Alfie Elkins
1987,Michael Douglas Award winner,Wall Street,Gordon Gekko
2014,Michael Keaton,Birdman,Riggan Thomson
1947,Michael Redgrave,Mourning Becomes Electra,Orin Mannon
1943,Mickey Rooney,The Human Comedy,Homer Macauley
1939,Mickey Rooney,Babes in Arms,Mickey Moran
2008,Mickey Rourke,The Wrestler,"Randy ""The Ram"" Robinson"
1948,Montgomery Clift,The Search,"Ralph ""Steve"" Stevenson"
1951,Montgomery Clift,A Place in the Sun,George Eastman
1953,Montgomery Clift,From Here to Eternity,Pvt. Robert E. Lee 'Prew' Prewitt
1942,Monty Woolley,The Pied Piper,Howard
1994,Morgan Freeman,The Shawshank Redemption,"Ellis Boyd ""Red"" Redding"
2009,Morgan Freeman,Invictus,Nelson Mandela
1989,Morgan Freeman,Driving Miss Daisy,Hoke Colburn
1991,Nick Nolte,The Prince of Tides,Tom Wingo
1998,Nick Nolte,Affliction,Wade Whitehouse
(1st),Nickie Elkins,,
2002,Nicolas Cage,Adaptation,Charlie Kaufman
1995,Nicolas Cage Award winner,Leaving Las Vegas,Ben Sanderson
1994,Nigel Hawthorne,The Madness of King George,King George III
1941,Orson Welles,Citizen Kane,Charles Foster Kane
1965,Oskar Werner,Ship of Fools,Willie Schumann
1943,Paul Lukas Award winner,Watch on the Rhine,Kurt Muller
1928/29,Paul Muni,The Valiant,James Dyke
1937,Paul Muni,The Life of Emile Zola,Emile Zola
1959,Paul Muni,The Last Angry Man,Dr. Sam Abelman
1932/33,Paul Muni,I Am a Fugitive from a Chain Gang,James Allen
1936,Paul Muni Award winner,The Story of Louis Pasteur,Louis Pasteur
1935,Paul Muni[D],Black Fury,Joe Radek
1982,Paul Newman,The Verdict,Frank Galvin
1994,Paul Newman,Nobody's Fool,"Donald ""Sully"" Sullivan"
1961,Paul Newman,The Hustler,Eddie Felson
1963,Paul Newman,Hud,Hud Bannon
1967,Paul Newman,Cool Hand Luke,"Lucas ""Cool Hand Luke"" Jackson"
1958,Paul Newman,Cat on a Hot Tin Roof,Brick Pollitt
1981,Paul Newman,Absence of Malice,Michael Colin Gallagher
1986,Paul Newman Award winner,The Color of Money,Fast Eddie Felson
1966,Paul Scofield Award winner,A Man for All Seasons,Sir Thomas More
1972,Paul Winfield,Sounder,Nathan Lee Morgan
1971,Peter Finch,Sunday Bloody Sunday,Dr. Daniel Hirsh
1976,Peter Finch ^[39],Network,Howard Beale
1997,Peter Fonda,Ulee's Gold,"Ulysses ""Ulee"" Jackson"
2006,Peter O'Toole,Venus,Maurice
1980,Peter O'Toole,The Stunt Man,Eli Cross
1972,Peter O'Toole,The Ruling Class,Jack Gurney 14th Earl of Gurney
1982,Peter O'Toole,My Favorite Year,Alan Swann
1968,Peter O'Toole,The Lion in Winter,King Henry II of England
1962,Peter O'Toole,Lawrence of Arabia,T. E. Lawrence
1969,Peter O'Toole,Goodbye Mr. Chips,Arthur Chipping
1964,Peter O'Toole,Becket,King Henry II of England
1964,Peter Sellers,Dr. Strangelove,Group Captain Lionel Mandrake
1979,Peter Sellers,Being There,Chance the Gardener aka Chauncey Gardiner
2005,Philip Seymour Hoffman Award winner,Capote,Truman Capote
(3rd),Pierre Mirande,,
1996,Ralph Fiennes,The English Patient,Count Laszlo de Almasy
1945,Ray Milland Award winner,The Lost Weekend,Don Birnam
1940,Raymond Massey,Abe Lincoln in Illinois,Abraham Lincoln
1963,Rex Harrison,Cleopatra,Julius Caesar
1964,Rex Harrison Award winner,My Fair Lady,Professor Henry Higgins
1927/28,Richard Barthelmess,The Noose,
1966,Richard Burton,Who's Afraid of Virginia Woolf?,George
1965,Richard Burton,The Spy Who Came in from the Cold,Alec Leamas
1953,Richard Burton,The Robe,Marcellus Gallio
1977,Richard Burton,Equus,Martin Dysart
1964,Richard Burton,Becket,Thomas Becket
1969,Richard Burton,Anne of the Thousand Days,King Henry VIII of England
1930/31,Richard Dix,Cimarron,Yancey Cravat
1995,Richard Dreyfuss,Mr. Holland's Opus,Glenn Holland
1977,Richard Dreyfuss Award winner,The Goodbye Girl,Elliot Garfield
1999,Richard Farnsworth,The Straight Story,Alvin Straight
1963,Richard Harris,This Sporting Life,Frank Machin
1990,Richard Harris,The Field,Bull McCabe
2008,Richard Jenkins,The Visitor,Walter Vale
1949,Richard Todd,The Hasty Heart,"Cpl. Lachlan ""Lachie"" MacLachlan"
1976,Robert De Niro,Taxi Driver,Travis Bickle
1978,Robert De Niro,The Deer Hunter,Michael Vronsky
1991,Robert De Niro,Cape Fear,"Maximilian ""Max"" Cady"
1990,Robert De Niro,Awakenings,Leonard Lowe
1980,Robert De Niro Award winner,Raging Bull,Jake LaMotta
1938,Robert Donat,The Citadel,Dr. Andrew Manson
1939,Robert Donat Award winner,Goodbye Mr. Chips,Charles Edward Chipping
1992,Robert Downey Jr.,Chaplin,Charlie Chaplin
1980,Robert Duvall,The Great Santini,"Lieutenant Colonel Wilbur ""Bull"" Meechum"
1997,Robert Duvall,The Apostle,"Euliss ""Sonny"" Dewey"
1983,Robert Duvall Award winner,Tender Mercies,Mac Sledge
1937,Robert Montgomery,Night Must Fall,Danny
1941,Robert Montgomery,Here Comes Mr. Jordan,Joe Pendleton
1973,Robert Redford,The Sting,"Johnny ""Kelly"" Hooker"
1998,Roberto Benigni Award winner,Life Is Beautiful,Guido Orefice
1987,Robin Williams,Good Morning Vietnam,Adrian Cronauer
1991,Robin Williams,The Fisher King,"Henry ""Parry"" Sagan"
1989,Robin Williams,Dead Poets Society,"John Charles ""Keats"" Keating"
1956,Rock Hudson,Giant,"Jordan ""Bick"" Benedict Jr."
1965,Rod Steiger,The Pawnbroker,Sol Nazerman
1967,Rod Steiger Award winner,In the Heat of the Night,Police Chief Bill Gillespie
1968,Ron Moody,Oliver!,Fagin
1942,Ronald Colman,Random Harvest,Charles Rainier
1947,Ronald Colman Award winner,A Double Life,Anthony John
1929/30,Ronald Colman[B],Bulldog Drummond,
1979,Roy Scheider,All That Jazz,Joe Gideon
1999,Russell Crowe,The Insider,Jeffrey Wigand
2001,Russell Crowe,A Beautiful Mind,John Forbes Nash Jr.
2000,Russell Crowe Award winner,Gladiator,Maximus Decimus Meridius
2006,Ryan Gosling,Half Nelson,Dan Dunne
1970,Ryan O'Neal,Love Story,Oliver Barrett IV
1984,Sam Waterston,The Killing Fields,Sydney Schanberg
1999,Sean Penn,Sweet and Lowdown,Emmet Ray
2001,Sean Penn,I Am Sam,Sam Dawson
1995,Sean Penn,Dead Man Walking,Matthew Poncelet
2003,Sean Penn Award winner,Mystic River,Jimmy Markum
2008,Sean Penn Award winner,Milk,Harvey Milk
1958,Sidney Poitier,The Defiant Ones,Noah Cullen
1963,Sidney Poitier Award winner,Lilies of the Field,Homer Smith
1936,Spencer Tracy,San Francisco,Father Tim Mullin
1958,Spencer Tracy,The Old Man and the Sea,The Old Man
1961,Spencer Tracy,Judgment at Nuremberg,Chief Judge Dan Haywood
1960,Spencer Tracy,Inherit the Wind,Henry Drummond
1950,Spencer Tracy,Father of the Bride,Stanley T. Banks
1955,Spencer Tracy,Bad Day at Black Rock,John J. Macreedy
1937,Spencer Tracy Award winner,Captains Courageous,Manuel
1938,Spencer Tracy Award winner,Boys Town,Father Flanagan
1967,Spencer Tracy,Guess Who's Coming to Dinner,Matt Drayton
1992,Stephen Rea,The Crying Game,Fergus
2014,Steve Carell,Foxcatcher,John du Pont
1966,Steve McQueen,The Sand Pebbles,Jake Holman
1961,Stuart Whitman,The Mark,Jim Fuller
1976,Sylvester Stallone,Rocky,Rocky Balboa
2005,Terrence Howard,Hustle & Flow,Djay
1983,Tom Conti,Reuben Reuben,Gowan McGland
1983,Tom Courtenay,The Dresser,Norman
1996,Tom Cruise,Jerry Maguire,Jerry Maguire
1989,Tom Cruise,Born on the Fourth of July,Ron Kovic
1998,Tom Hanks,Saving Private Ryan,Captain John Miller
2000,Tom Hanks,Cast Away,Chuck Noland
1988,Tom Hanks,Big,Josh Baskin
1993,Tom Hanks Award winner,Philadelphia,Andrew Beckett
1994,Tom Hanks Award winner,Forrest Gump,Forrest Gump
1984,Tom Hulce,Amadeus,Wolfgang Amadeus Mozart
