1945,Ingrid Bergman,The Bells of St. Mary's,Mary Benedict
1945,Joan Crawford Award winner,Mildred Pierce,Mildred Pierce Beragon
1945,Greer Garson,The Valley of Decision,Mary Rafferty
1945,Jennifer Jones,Love Letters,Singleton
1945,Gene Tierney,Leave Her to Heaven,Ellen Berent Harland
1946,Olivia de Havilland Award winner,To Each His Own,Josephine 'Jody' Norris
1946,Celia Johnson,Brief Encounter,Laura Jesson
1946,Jennifer Jones,Duel in the Sun,Pearl Chavez
1946,Rosalind Russell,Sister Kenny,Elizabeth Kenny
1946,Jane Wyman,The Yearling,Orry Baxter
1947,Joan Crawford,Possessed,Louise Howell
1947,Susan Hayward,Smash-Up the Story of a Woman,Angelica Evans Conway
1947,Dorothy McGuire,Gentleman's Agreement,Kathy Lacy
1947,Rosalind Russell,Mourning Becomes Electra,Lavinia Mannon
1947,Loretta Young Award winner,The Farmer's Daughter,Katie Holstrom
1948,Ingrid Bergman,Joan of Arc,Joan of Arc
1948,Olivia de Havilland,The Snake Pit,Virginia Stuart Cunningham
1948,Irene Dunne,I Remember Mama,Martha Hanson
1948,Barbara Stanwyck,Sorry Wrong Number,Leona Stevenson
1948,Jane Wyman Award winner,Johnny Belinda,Belinda McDonald
1949,Jeanne Crain,Pinky,Patricia 'Pinky' Johnson
1949,Olivia de Havilland Award winner,The Heiress,Catherine Sloper
1949,Susan Hayward,My Foolish Heart,Eloise Winters
1949,Deborah Kerr,Edward My Son,Evelyn Boult
1949,Loretta Young,Come to the Stable,Margaret
1950,Anne Baxter,All About Eve,Eve Harrington
1950,Bette Davis,All About Eve,Margo Channing
1950,Judy Holliday Award winner,Born Yesterday,Emma 'Billie' Dawn
1950,Eleanor Parker,Caged,Marie Allen
1950,Gloria Swanson,Sunset Boulevard,Norma Desmond
1951,Katharine Hepburn,The African Queen,Rose Sayer
1951,Vivien Leigh Award winner,A Streetcar Named Desire,Blanche DuBois
1951,Eleanor Parker,Detective Story,Mary McLeod
1951,Shelley Winters,A Place in the Sun,Alice Tripp
1951,Jane Wyman,The Blue Veil,Louise Mason
1952,Shirley Booth Award winner,Come Back Little Sheba,Lola Delaney
1952,Joan Crawford,Sudden Fear,Myra Hudson
1952,Bette Davis,The Star,Margaret Elliot
1952,Julie Harris,The Member of the Wedding,Frances 'Frankie' Addams
1952,Susan Hayward,With a Song in My Heart,Jane Froman
1953,Leslie Caron,Lili,Lili Daurier
1953,Ava Gardner,Mogambo,"Eloise ""Honey Bear"" Kelly"
1953,Audrey Hepburn Award winner,Roman Holiday,Princess Ann
1953,Deborah Kerr,From Here to Eternity,Karen Holmes
1953,Maggie McNamara,The Moon Is Blue,Patty O'Neill
1954,Dorothy Dandridge,Carmen Jones,Carmen Jones
1954,Judy Garland,A Star is Born,Esther Victoria Blodgett / Vicki Lester
1954,Audrey Hepburn,Sabrina,Sabrina Fairchild
1954,Grace Kelly Award winner,The Country Girl,Georgie Elgin
