1945,J. Carrol Naish,A Medal for Benny,Charley Martin
1945,James Dunn Award winner,A Tree Grows in Brooklyn,Johnny Nolan
1945,John Dall,The Corn Is Green,Morgan Evans
1945,Michael Chekhov,Spellbound,"Dr. Alexander ""Alex"" Brulov"
1945,Robert Mitchum,The Story of G.I. Joe,Lt. Capt. Bill Walker
1946,Charles Coburn,The Green Years,Alexander Gow
1946,Claude Rains,Notorious,Alexander Sebastian
1946,Clifton Webb,The Razor's Edge,Elliott Templeton
1946,Harold Russell Award winner,The Best Years of Our Lives,Homer Parrish
1946,William Demarest,The Jolson Story,Steve Martin
1947,Charles Bickford,The Farmer's Daughter,Joseph Clancy
1947,Edmund Gwenn Award winner,Miracle on 34th Street,Kris Kringle
1947,Richard Widmark,Kiss of Death,Tommy Udo
1947,Robert Ryan,Crossfire,Montgomery
1947,Thomas Gomez,Ride the Pink Horse,Pancho
1948,Cecil Kellaway,The Luck of the Irish,Horace (A Leprechaun)
1948,Charles Bickford,Johnny Belinda,Black McDonald
1948,Jos_ Ferrer,Joan of Arc,The Dauphin Charles VII later King of France
1948,Oskar Homolka,I Remember Mama,Uncle Chris Halverson
1948,Walter Huston Award winner,The Treasure of the Sierra Madre,Howard
1949,Arthur Kennedy,Champion,Connie Kelly
1949,Dean Jagger Award winner,Twelve O'Clock High,Major Harvey Stovall
1949,James Whitmore,Battleground,Sgt. Kinnie
1949,John Ireland,All the King's Men,Jack Burden
1949,Ralph Richardson,The Heiress,Dr. Austin Sloper
1950,Edmund Gwenn,Mister 880,Skipper Miller
1950,Erich von Stroheim,Sunset Boulevard,Max von Meyerling
1950,George Sanders Award winner,All About Eve,Addison De Witt
1950,Jeff Chandler,Broken Arrow,Cochise
1950,Sam Jaffe,The Asphalt Jungle,Dr. Erwin Riedenschneider
1951,Gig Young,Come Fill the Cup,Boyd Copeland
1951,Karl Malden Award winner,A Streetcar Named Desire,"Harold ""Mitch"" Mitchell"
1951,Kevin McCarthy,Death of a Salesman,Biff Loman
1951,Leo Genn,Quo Vadis,Petronius
1951,Peter Ustinov,Quo Vadis,Nero
1952,Anthony Quinn Award winner,Viva Zapata!,Eufemio Zapata
1952,Arthur Hunnicutt,The Big Sky,Zeb Calloway
1952,Jack Palance,Sudden Fear,Lester Blaine
1952,Richard Burton,My Cousin Rachel,Philip Ashley
1952,Victor McLaglen,The Quiet Man,"Will ""Red"" Danaher"
1953,Brandon deWilde,Shane,Joey Starrett
1953,Eddie Albert,Roman Holiday,Irving Radovich
1953,Frank Sinatra Award winner,From Here to Eternity,Pvt. Angelo Maggio
1953,Jack Palance,Shane,Jack Wilson
1953,Robert Strauss,Stalag 17,"Sgt. Stanislas ""Animal"" Kasava"
1954,Edmond O'Brien Award winner,The Barefoot Contessa,Oscar Muldoon
1954,Karl Malden,On the Waterfront,Father Barry
1954,Lee J. Cobb,On the Waterfront,Johnny Friendly
1954,Rod Steiger,On the Waterfront,"Charley ""The Gent"" Malloy"
1954,Tom Tully,The Caine Mutiny,Commander DeVriess
1955,Arthur Kennedy,Trial,Barney Castle
1955,Arthur O'Connell,Picnic,Howard Bevans
1955,Jack Lemmon Award winner,Mister Roberts,Ens. Frank Thurlowe Pulver
1955,Joe Mantell,Marty,Angie
1955,Sal Mineo,Rebel Without a Cause,"John ""Plato"" Crawford"
1956,Anthony Perkins,Friendly Persuasion,Josh Birdwell
1956,Anthony Quinn Award winner,Lust for Life,Paul Gauguin
1956,Don Murray,Bus Stop,"Beauregard ""Bo"" Decker"
1956,Mickey Rooney,The Bold and the Brave,Dooley
1956,Robert Stack,Written on the Wind,Kyle Hadley
1957,Arthur Kennedy,Peyton Place,Lucas Cross
1957,Red Buttons Award winner,Sayonara,Airman Joe Kelly
1957,Russ Tamblyn,Peyton Place,Norman Page
1957,Sessue Hayakawa,The Bridge on the River Kwai,Colonel Saito
1957,Vittorio De Sica,A Farewell to Arms,Major Alessandro Rinaldi
1958,Arthur Kennedy,Some Came Running,Frank Hirsh
1958,Burl Ives Award winner,The Big Country,Rufus Hannassey
1958,Gig Young,Teacher's Pet,Dr. Hugo Pine
1958,Lee J. Cobb,The Brothers Karamazov,Fyodor Karamazov
1958,Theodore Bikel,The Defiant Ones,Sheriff Max Muller
1959,Arthur O'Connell,Anatomy of a Murder,Parnell Emmett McCarthy
1959,Ed Wynn,The Diary of Anne Frank,Albert Dussell
1959,George C. Scott,Anatomy of a Murder,Asst. State Atty. Gen. Claude Dancer
1959,Hugh Griffith Award winner,Ben-Hur,Sheik Ilderim
1959,Robert Vaughn,The Young Philadelphians,"Chester ""Chet"" Gwynn"
1960,Chill Wills,The Alamo,Beekeeper
1960,Jack Kruschen,The Apartment,Dr. Dreyfuss
1960,Peter Falk,Murder Inc.,"Abe ""Kid Twist"" Reles"
1960,Peter Ustinov Award winner,Spartacus,Lentulus Batiatus
1960,Sal Mineo,Exodus,Dov Landau
1961,George C. Scott [A],The Hustler,Bert Gordon
1961,George Chakiris Award winner,West Side Story,Bernardo Nunez
1961,Jackie Gleason,The Hustler,Minnesota Fats
1961,Montgomery Clift,Judgment at Nuremberg,Rudolph Petersen
1961,Peter Falk,Pocketful of Miracles,Joy Boy
1962,Ed Begley Award winner,Sweet Bird of Youth,"Tom ""Boss"" Finley"
1962,Omar Sharif,Lawrence of Arabia,Sherif Ali ibn el Kharish
1962,Telly Savalas,Birdman of Alcatraz,Feto Gomez
1962,Terence Stamp,Billy Budd,Billy Budd
1962,Victor Buono,What Ever Happened to Baby Jane?,Edwin Flagg
1963,Bobby Darin,Captain Newman M.D.,Corporal Jim Tompkins
1963,Hugh Griffith,Tom Jones,Squire Western
1963,John Huston,The Cardinal,Cardinal Glennon
1963,Melvyn Douglas Award winner,Hud,Homer Bannon
1963,Nick Adams,Twilight of Honor,Ben Brown
1964,Edmond O'Brien,Seven Days in May,Senator Raymond Clark
1964,John Gielgud,Becket,Louis VII of France
1964,Lee Tracy,The Best Man,President Art Hockstader
1964,Peter Ustinov Award winner,Topkapi,Arthur Simon Simpson
1964,Stanley Holloway,My Fair Lady,Alfred Doolittle
1965,Frank Finlay,Othello,Iago
1965,Ian Bannen,The Flight of the Phoenix,Ratbags Crow
1965,Martin Balsam Award winner,A Thousand Clowns,Arnold Burns
1965,Michael Dunn,Ship of Fools,Carl Glocken
1965,Tom Courtenay,Doctor Zhivago,Pasha Antipov (Strelnikov)
1966,George Segal,Who's Afraid of Virginia Woolf?,Nick
1966,James Mason,Georgy Girl,James Leamington
1966,Mako,The Sand Pebbles,Po-han
1966,Robert Shaw,A Man for All Seasons,Henry VIII of England
1966,Walter Matthau Award winner,The Fortune Cookie,Willie Gingrich
1967,Cecil Kellaway,Guess Who's Coming to Dinner,Monsignor Mike Ryan
1967,Gene Hackman,Bonnie and Clyde,Buck Barrow
1967,George Kennedy Award winner,Cool Hand Luke,Dragline
1967,John Cassavetes,The Dirty Dozen,Victor P. Franko
1967,Michael J. Pollard,Bonnie and Clyde,C.W. Moss
1968,Daniel Massey,Star!,Noel Coward
1968,Gene Wilder,The Producers,Leo Bloom
1968,Jack Albertson Award winner,The Subject Was Roses,John Cleary
1968,Jack Wild,Oliver!,The Artful Dodger
1968,Seymour Cassel,Faces,Chet
1969,Anthony Quayle,Anne of the Thousand Days,Cardinal Wolsey
1969,Elliott Gould,Bob & Carol & Ted & Alice,Ted Henderson
1969,Gig Young Award winner,They Shoot Horses Don't They?,Rocky Graver
1969,Jack Nicholson,Easy Rider,George Hanson
1969,Rupert Crosse,The Reivers,Ned McCaslin
1970,Chief Dan George,Little Big Man,Old Lodge Skins
1970,Gene Hackman,I Never Sang for My Father,Gene Garrison
1970,John Marley,Love Story,Phil Cavalleri
1970,John Mills Award winner,Ryan's Daughter,Michael
1970,Richard S. Castellano,Lovers and Other Strangers,Frank Vecchio
1971,Ben Johnson Award winner,The Last Picture Show,Sam the Lion
1971,Jeff Bridges,The Last Picture Show,Duane Jackson
1971,Leonard Frey,Fiddler on the Roof,Motel Kamzoil
1971,Richard Jaeckel,Sometimes a Great Notion,Joe Ben Stamper
1971,Roy Scheider,The French Connection,"Det. Buddy ""Cloudy"" Russo"
1972,Al Pacino,The Godfather,Michael Corleone
1972,Eddie Albert,The Heartbreak Kid,Mr. Corcoran
1972,James Caan,The Godfather,Sonny Corleone
1972,Joel Grey Award winner,Cabaret,Master of Ceremonies
1972,Robert Duvall,The Godfather,Tom Hagen
1973,Jack Gilford,Save the Tiger,Phil Greene
1973,Jason Miller,The Exorcist,Father Damien Karras
1973,John Houseman Award winner,The Paper Chase,Charles W. Kingsfield Jr.
1973,Randy Quaid,The Last Detail,Larry Meadows
1973,Vincent Gardenia,Bang the Drum Slowly,Dutch Schnell
1974,Fred Astaire,The Towering Inferno,Harlee Claiborne
1974,Jeff Bridges,Thunderbolt and Lightfoot,Lightfoot
1974,Lee Strasberg,The Godfather Part II,Hyman Roth
1974,Michael V. Gazzo,The Godfather Part II,Frank Pentangeli
1974,Robert De Niro Award winner,The Godfather Part II,Vito Corleone
1975,Brad Dourif,One Flew Over the Cuckoo's Nest,Billy Bibbit
1975,Burgess Meredith,The Day of the Locust,Harry Greener
1975,Chris Sarandon,Dog Day Afternoon,Leon Shermer
1975,George Burns Award winner,The Sunshine Boys,Al Lewis
1975,Jack Warden,Shampoo,Lester Karpf
1976,Burgess Meredith,Rocky,Mickey Goldmill
1976,Burt Young,Rocky,Paulie Pennino
1976,Jason Robards Award winner,All the President's Men,Ben Bradlee
1976,Laurence Olivier,Marathon Man,Dr. Christian Szell
1976,Ned Beatty,Network,Arthur Jensen
1977,Alec Guinness,Star Wars,Obi-Wan Kenobi
1977,Jason Robards Award winner,Julia,Dashiell Hammett
1977,Maximilian Schell,Julia,Johann
1977,Mikhail Baryshnikov,The Turning Point,Yuri Kopeikine
1977,Peter Firth,Equus,Alan Strang
1978,Bruce Dern,Coming Home,Capt. Bob Hyde
1978,Christopher Walken Award winner,The Deer Hunter,"Nikonar ""Nick"" Chevotarevich"
1978,Jack Warden,Heaven Can Wait,Max Corkle
1978,John Hurt,Midnight Express,Max
1978,Richard Farnsworth,Comes a Horseman,Dodger
1979,Frederic Forrest,The Rose,Houston Dyer
1979,Justin Henry,Kramer vs. Kramer,Billy Kramer
1979,Melvyn Douglas Award winner,Being There,Benjamin Turnbull Rand
1979,Mickey Rooney,The Black Stallion,Henry Dailey
1979,Robert Duvall,Apocalypse Now,Lt. Col. Bill Kilgore
1980,Jason Robards,Melvin and Howard,Howard Hughes
1980,Joe Pesci,Raging Bull,Joey LaMotta
1980,Judd Hirsch,Ordinary People,Dr. Tyrone C. Berger
1980,Michael O'Keefe,The Great Santini,Ben Meechum
1980,Timothy Hutton Award winner,Ordinary People,Conrad Jarrett
1981,Howard Rollins,Ragtime,Coalhouse Walker Jr.
1981,Ian Holm,Chariots of Fire,Sam Mussabini
1981,Jack Nicholson,Reds,Eugene O'Neill
1981,James Coco,Only When I Laugh,Jimmy Perry
1981,John Gielgud Award winner,Arthur,Hobson
1982,Charles Durning,The Best Little Whorehouse in Texas,Governor
1982,James Mason,The Verdict,Ed Concannon
1982,John Lithgow,The World According to Garp,Roberta Muldoon
1982,Louis Gossett Jr. Award winner,An Officer and a Gentleman,Gunnery Sgt. Emil Foley
1982,Robert Preston,Victor Victoria,"Carroll ""Toddy"" Todd"
1983,Charles Durning,To Be or Not to Be,Colonel Erhardt
1983,Jack Nicholson Award winner,Terms of Endearment,Garrett Breedlove
1983,John Lithgow,Terms of Endearment,Sam Burns
1983,Rip Torn,Cross Creek,Marsh Turner
1983,Sam Shepard,The Right Stuff,Chuck Yeager
1984,Adolph Caesar,A Soldier's Story,Sgt. Waters
1984,Haing S. Ngor Award winner,The Killing Fields,Dith Pran
1984,John Malkovich,Places in the Heart,Mr. Will
1984,Pat Morita,The Karate Kid,Kesuke Miyagi
1984,Ralph Richardson *[58],Greystoke: The Legend of Tarzan Lord of the Apes,The Sixth Earl of Greystoke
1985,Don Ameche Award winner,Cocoon,Arthur Selwyn
1985,Eric Roberts,Runaway Train,Buck
1985,Klaus Maria Brandauer,Out of Africa,Baron Bror von Blixen-Finecke
1985,Robert Loggia,Jagged Edge,Sam Ransom
1985,William Hickey,Prizzi's Honor,Don Corrado Prizzi
1986,Denholm Elliott,A Room with a View,Mr. Emerson
1986,Dennis Hopper,Hoosiers,"Wilbur ""Shooter"" Flatch"
1986,Michael Caine Award winner,Hannah and Her Sisters,Elliott Daniels
1986,Tom Berenger,Platoon,Sgt. Bob Barnes
1986,Willem Dafoe,Platoon,Sgt. Elias Grodin
1987,Albert Brooks,Broadcast News,Aaron Altman
1987,Denzel Washington,Cry Freedom,Steve Biko
1987,Morgan Freeman,Street Smart,"Leo ""Fast Black"" Smalls Jr."
1987,Sean Connery Award winner,The Untouchables,Jim Malone
1987,Vincent Gardenia,Moonstruck,Cosmo Castorini
1988,Alec Guinness,Little Dorrit,William Dorrit
1988,Dean Stockwell,Married to the Mob,"Tony ""The Tiger"" Russo"
1988,Kevin Kline Award winner,A Fish Called Wanda,Otto West
1988,Martin Landau,Tucker: The Man and His Dream,Abe Karatz
1988,River Phoenix,Running on Empty,Danny Pope
1989,Dan Aykroyd,Driving Miss Daisy,Boolie Werthan
1989,Danny Aiello,Do the Right Thing,Sal Frangione
1989,Denzel Washington Award winner,Glory,Pvt. Silas Trip
1989,Marlon Brando,A Dry White Season,Ian Mackenzie
1989,Martin Landau,Crimes and Misdemeanors,Judah Rosenthal
1990,Al Pacino,Dick Tracy,"Alphonse ""Big Boy"" Caprice"
1990,Andy Garcia,The Godfather Part III,Vincent Mancini
1990,Bruce Davison,Longtime Companion,David
1990,Graham Greene,Dances with Wolves,Kicking Bird
1990,Joe Pesci Award winner,Goodfellas,Tommy DeVito
1991,Ben Kingsley,Bugsy,Meyer Lansky
1991,Harvey Keitel,Bugsy,Mickey Cohen
1991,Jack Palance Award winner,City Slickers,Curly Washburn
1991,Michael Lerner,Barton Fink,Jack Lipnick
1991,Tommy Lee Jones,JFK,Clay Shaw
1992,Al Pacino,Glengarry Glen Ross,"Richard ""Ricky"" Roma"
1992,David Paymer,Mr. Saturday Night,Stan Young
1992,Gene Hackman Award winner,Unforgiven,Little Bill Daggett
1992,Jack Nicholson,A Few Good Men,Colonel Nathan R. Jessep
1992,Jaye Davidson,The Crying Game,Dil
1993,John Malkovich,In the Line of Fire,Mitch Leary
1993,Leonardo DiCaprio,What's Eating Gilbert Grape,Arnie Grape
1993,Pete Postlethwaite,In the Name of the Father,Giuseppe Conlon
1993,Ralph Fiennes,Schindler's List,Amon G_eth
1993,Tommy Lee Jones Award winner,The Fugitive,U.S. Marshal Samuel Gerard
1994,Chazz Palminteri,Bullets over Broadway,Cheech
1994,Gary Sinise,Forrest Gump,Lt. Dan Taylor
1994,Martin Landau Award winner,Ed Wood,B_la Lugosi
1994,Paul Scofield,Quiz Show,Mark Van Doren
1994,Samuel L. Jackson,Pulp Fiction,Jules Winnfield
1995,Brad Pitt,12 Monkeys,Jeffrey Goines
1995,Ed Harris,Apollo 13,Gene Kranz
1995,James Cromwell,Babe,Farmer Arthur Hoggett
1995,Kevin Spacey Award winner,The Usual Suspects,"Roger ""Verbal"" Kint"
1995,Tim Roth,Rob Roy,Archibald Cunningham
1996,Armin Mueller-Stahl,Shine,Peter Helfgott
1996,Cuba Gooding Jr. Award winner,Jerry Maguire,Rod Tidwell
1996,Edward Norton,Primal Fear,Aaron Stampler
1996,James Woods,Ghosts of Mississippi,Byron De La Beckwith
1996,William H. Macy,Fargo,Jerry Lundegaard
1997,Anthony Hopkins,Amistad,John Quincy Adams
1997,Burt Reynolds,Boogie Nights,Jack Horner
1997,Greg Kinnear,As Good as It Gets,Simon Bishop
1997,Robert Forster,Jackie Brown,Max Cherry
1997,Robin Williams Award winner,Good Will Hunting,Dr. Sean Maguire
1998,Billy Bob Thornton,A Simple Plan,Jacob Mitchell
1998,Ed Harris,The Truman Show,Christof
1998,Geoffrey Rush,Shakespeare in Love,Philip Henslowe
1998,James Coburn Award winner,Affliction,Glen Whitehouse
1998,Robert Duvall,A Civil Action,Jerome Facher
1999,Haley Joel Osment,The Sixth Sense,Cole Sear
1999,Jude Law,The Talented Mr. Ripley,Dickie Greenleaf
1999,Michael Caine Award winner,The Cider House Rules,Dr. Wilbur Larch
1999,Michael Clarke Duncan,The Green Mile,John Coffey
1999,Tom Cruise,Magnolia,Frank T.J. Mackey
2000,Albert Finney,Erin Brockovich,Edward L. Masry
2000,Benicio del Toro Award winner,Traffic,Javier Rodriguez
2000,Jeff Bridges,The Contender,Jackson Evans
2000,Joaquin Phoenix,Gladiator,Commodus
2000,Willem Dafoe,Shadow of the Vampire,Max Schreck
2001,Ben Kingsley,Sexy Beast,Don Logan
2001,Ethan Hawke,Training Day,Officer Jake Hoyt
2001,Ian McKellen,The Lord of the Rings: The Fellowship of the Ring,Gandalf the Grey
2001,Jim Broadbent Award winner,Iris,John Bayley
2001,Jon Voight,Ali,Howard Cosell
2002,Chris Cooper Award winner,Adaptation,John Laroche
2002,Christopher Walken,Catch Me If You Can,Frank Abagnale Sr.
2002,Ed Harris,The Hours,"Richard ""Richie"" Brown"
2002,John C. Reilly,Chicago,Amos Hart
2002,Paul Newman,Road to Perdition,John Rooney
2003,Alec Baldwin,The Cooler,Shelly Kaplow
2003,Benicio del Toro,21 Grams,Jack Jordan
2003,Djimon Hounsou,In America,Mateo
2003,Ken Watanabe,The Last Samurai,Lord Moritsugu Katsumoto
2003,Tim Robbins Award winner,Mystic River,Dave Boyle
2004,Alan Alda,The Aviator,Owen Brewster
2004,Clive Owen,Closer,Larry Gray
2004,Jamie Foxx,Collateral,Max Durocher
2004,Morgan Freeman Award winner,Million Dollar Baby,"Eddie ""Scrap-Iron"" Dupris"
2004,Thomas Haden Church,Sideways,Jack Cole
2005,George Clooney Award winner,Syriana,Robert Barnes
2005,Jake Gyllenhaal,Brokeback Mountain,Jack Twist
2005,Matt Dillon,Crash,Officer John Ryan
2005,Paul Giamatti,Cinderella Man,Joe Gould
2005,William Hurt,A History of Violence,Richie Cusack
2006,Alan Arkin Award winner,Little Miss Sunshine,Edwin Hoover
2006,Djimon Hounsou,Blood Diamond,Solomon Vandy
2006,Eddie Murphy,Dreamgirls,"James ""Thunder"" Early"
2006,Jackie Earle Haley,Little Children,Ronald James McGorvey
2006,Mark Wahlberg,The Departed,Staff Sgt. Sean Dignam
2007,Casey Affleck,The Assassination of Jesse James by the Coward Robert Ford,Robert Ford
2007,Hal Holbrook,Into the Wild,Ron Franz
2007,Javier Bardem Award winner,No Country for Old Men,Anton Chigurh
2007,Philip Seymour Hoffman,Charlie Wilson's War,Gust Avrakotos
2007,Tom Wilkinson,Michael Clayton,Arthur Edens
2008,Heath Ledger ^[8],The Dark Knight,The Joker
2008,Josh Brolin,Milk,Dan White
2008,Michael Shannon,Revolutionary Road,John Givings Jr.
2008,Philip Seymour Hoffman,Doubt,Father Brendan Flynn
2008,Robert Downey Jr.,Tropic Thunder,Kirk Lazarus
2009,Christoph Waltz Award winner,Inglourious Basterds,Col. Hans Landa
2009,Christopher Plummer,The Last Station,Leo Tolstoy
2009,Matt Damon,Invictus,Francois Pienaar
2009,Stanley Tucci,The Lovely Bones,George Harvey
2009,Woody Harrelson,The Messenger,Capt. Tony Stone
2010,Christian Bale Award winner,The Fighter,Dicky Eklund
2010,Geoffrey Rush,The King's Speech,Lionel Logue
2010,Jeremy Renner,The Town,"James ""Jem"" Coughlin"
2010,John Hawkes,Winter's Bone,Teardrop Dolly
2010,Mark Ruffalo,The Kids Are All Right,Paul Hatfield
2011,Christopher Plummer Award winner,Beginners,Hal Fields
2011,Jonah Hill,Moneyball,Peter Brand
2011,Kenneth Branagh,My Week with Marilyn,Laurence Olivier
2011,Max von Sydow,Extremely Loud and Incredibly Close,The Renter
2011,Nick Nolte,Warrior,Paddy Conlon
2012,Alan Arkin,Argo,Lester Siegel
2012,Christoph Waltz Award winner,Django Unchained,Dr. King Schultz
2012,Philip Seymour Hoffman,The Master,Lancaster Dodd
2012,Robert De Niro,Silver Linings Playbook,"Patrizio ""Pat"" Solitano Sr."
2012,Tommy Lee Jones,Lincoln,Thaddeus Stevens
2013,Barkhad Abdi,Captain Phillips,Abduwali Muse
2013,Bradley Cooper,American Hustle,"Richard ""Richie"" DiMaso"
2013,Jared Leto Award winner,Dallas Buyers Club,Rayon
2013,Jonah Hill,The Wolf of Wall Street,Donnie Azoff
2013,Michael Fassbender,12 Years a Slave,Edwin Epps
2014,Edward Norton,Birdman,Mike Shiner
2014,Ethan Hawke,Boyhood,Mason Evans Sr.
2014,J. K. Simmons Award winner,Whiplash,Terrence Fletcher
2014,Mark Ruffalo,Foxcatcher,David Schultz
2014,Robert Duvall,The Judge,Joseph Palmer
