1945,Anne Revere Award winner,National Velvet,Araminty Brown
1945,Eve Arden,Mildred Pierce,Ida Corwin
1945,Ann Blyth,Mildred Pierce,Veda Pierce Forrester
1945,Angela Lansbury,The Picture of Dorian Gray,Sibyl Vane
1945,Joan Lorring,The Corn is Green,Bessie Watty
1946,Flora Robson,Saratoga Trunk,Angelique Buiton
1946,Anne Baxter Award winner,The Razor's Edge,Sophie Nelson MacDonald
1946,Lillian Gish,Duel in the Sun,Laura Belle McCanles
1946,Gale Sondergaard,Anna and the King of Siam,Lady Thiang
1946,Ethel Barrymore,The Spiral Staircase,Mrs. Warren
1947,Celeste Holm Award winner,Gentleman's Agreement,Anne Dettrey
1947,Anne Revere,Gentleman's Agreement,Mrs. Green
1947,Ethel Barrymore,The Paradine Case,Sophie Horfield
1947,Marjorie Main,The Egg and I,Ma Kettle
1947,Gloria Grahame,Crossfire,Ginny Tremaine
1948,Claire Trevor Award winner,Key Largo,Gaye Dawn
1948,Barbara Bel Geddes,I Remember Mama,Katrin Hanson
1948,Agnes Moorehead,Johnny Belinda,Aggie McDonald
1948,Jean Simmons,Hamlet,Ophelia
1948,Ellen Corby,I Remember Mama,Trina
1949,Mercedes McCambridge Award winner,All the King's Men,Sadie Burke
1949,Ethel Barrymore,Pinky,Miss Em
1949,Ethel Waters,Pinky,Dicey Johnson
1949,Elsa Lanchester,Come to the Stable,Amelia Potts
1949,Celeste Holm,Come to the Stable,Sister Scholastica
1950,Hope Emerson,Caged,Evelyn Harper
1950,Thelma Ritter,All About Eve,Birdie Kumen
1950,Celeste Holm,All About Eve,Karen Richards
1950,Nancy Olson,Sunset Boulevard,Betty Schaefer
1950,Josephine Hull Award winner,Harvey,Veta Louise Simmons
1951,Mildred Dunnock,Death of a Salesman,Linda Loman
1951,Thelma Ritter,The Mating Season,Ellen McNulty
1951,Joan Blondell,The Blue Veil,Annie Rawlins
1951,Kim Hunter Award winner,A Streetcar Named Desire,Stella Kowalski
1951,Lee Grant,Detective Story,The Shoplifter
1952,Gloria Grahame Award winner,The Bad and the Beautiful,Rosemary Bartlow
1952,Terry Moore,"Come Back, Little Sheba",Marie Buckholder
1952,Colette Marchand,Moulin Rouge,Marie Charlet
1952,Thelma Ritter,With a Song in My Heart,Clancy
1952,Jean Hagen,Singin' in the Rain,Lina Lamont
1953,Donna Reed Award winner,From Here to Eternity,Alma Burke/Lorene
1953,Geraldine Page,Hondo,Angie Lowe
1953,Thelma Ritter,Pickup on South Street,Moe Williams
1953,Grace Kelly,Mogambo,Linda Nordley
1953,Marjorie Rambeau,Torch Song,Mrs. Stewart
1954,Katy Jurado,Broken Lance,Senora Devereaux
1954,Eva Marie Saint Award winner,On the Waterfront,Edie Doyle
1954,Claire Trevor,The High and the Mighty,May Holst
1954,Nina Foch,Executive Suite,Erica Martin
1954,Jan Sterling,The High and the Mighty,Sally McKee
